SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-13-2020,Townhouse,5311 Pembroke Pl,Shadyside,PA,15232,620000,3,2.5,Shadyside,2140,,1960,,290,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5311-Pembroke-Pl-15232/home/74664947,West Penn MLS,1466204,N,Y,40.4510072,-79.936359
PAST SALE,May-2-2019,Single Family Residential,701 Amberson Ave,Shadyside,PA,15232,1240000,5,5.5,Shadyside,2400,,1900,,517,,Sold,,,https://www.redfin.com/PA/Pittsburgh/701-Amberson-Ave-15232/home/74665075,West Penn MLS,1386121,N,Y,40.4507024,-79.9402342
PAST SALE,March-16-2020,Single Family Residential,520 Bigelow St,Greenfield,PA,15207,225000,3,1,Greenfield,1256,,1950,,179,,Sold,,,https://www.redfin.com/PA/Pittsburgh/520-Bigelow-St-15207/home/74678198,West Penn MLS,1430948,N,Y,40.4188211,-79.9389438
PAST SALE,October-15-2020,Single Family Residential,527 Susanna Ct,Greenfield,PA,15207,238000,3,2.5,Greenfield,,,1950,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/527-Susanna-Ct-15207/home/74678763,West Penn MLS,1432868,N,Y,40.4185292,-79.9387252
PAST SALE,,Single Family Residential,4828 Giddings St,Pittsburgh,PA,15207,17500,2,1,,1034,2760,1920,,17,,,,,https://www.redfin.com/PA/Pittsburgh/4828-Giddings-St-15207/home/74681993,,,N,Y,40.4135549,-79.938256
PAST SALE,,Townhouse,107 Glen Caladh St,Pittsburgh,PA,15207,126000,3,1.5,,2375,2614,1996,,53,,,,,https://www.redfin.com/PA/Pittsburgh/107-Glen-Caladh-St-15207/home/74682559,,,N,Y,40.4094525,-79.9431353
PAST SALE,May-10-2019,Single Family Residential,5274 Holmes St,Lawrenceville,PA,15201,248000,2,1,Lawrenceville,,,1905,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5274-Holmes-St-15201/home/74734774,West Penn MLS,1388288,N,Y,40.480266,-79.950213
PAST SALE,October-9-2020,Single Family Residential,5114 Duncan St,Lawrenceville,PA,15201,242000,2,1,Lawrenceville,1088,,1900,,222,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5114-Duncan-St-15201/home/74734995,West Penn MLS,1458605,N,Y,40.4779529,-79.9514245
PAST SALE,October-26-2020,Single Family Residential,160 45th St,Lawrenceville,PA,15201,441500,3,2.5,Lawrenceville,1960,,1890,,225,,Sold,,,https://www.redfin.com/PA/Pittsburgh/160-45th-St-15201/home/74735621,West Penn MLS,1469505,N,Y,40.4729351,-79.9606905
PAST SALE,July-23-2019,Single Family Residential,5844 Pierce St,Shadyside,PA,15232,199000,2,1,Shadyside,,,1900,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/5844-Pierce-St-15232/home/74745540,West Penn MLS,1377512,N,Y,40.4573164,-79.9296678
